Episode_ID,Season,Episode,Rating,Votes
817,1,817,9.6,6168
818,1,818,9.2,2899
819,1,819,9.2,2924
820,1,820,8.9,2670
821,1,821,8.5,1945
822,1,822,7.9,1351
823,1,823,8.3,1689
824,1,824,8.8,2059
825,1,825,9.5,4673
826,1,826,8.9,2517
827,1,827,7.9,1298
828,1,828,8.5,1786
829,1,829,7.9,1206
830,1,830,8.7,2030
831,1,831,7.9,1210
832,1,832,9.2,2902
833,1,833,9.5,4948
834,1,834,9.1,2686
835,1,835,9.1,2628
836,1,836,8.0,1278
837,1,837,8.8,2400
838,1,838,8.1,1241
839,1,839,8.4,1718
840,1,840,7.9,1163
841,1,841,8.6,1810
842,1,842,8.6,1811
843,1,843,7.8,1138
844,1,844,7.7,1093
845,1,845,7.8,1131
846,1,846,7.8,1124
847,1,847,7.8,1131
848,1,848,7.8,1162
849,1,849,9.4,3928
850,1,850,9.3,3744
851,1,851,8.9,2589
852,1,852,9.0,2731
853,1,853,8.5,1897
854,1,854,8.8,2450
855,1,855,8.6,1903
856,1,856,9.3,3530
857,1,857,9.0,2698
858,1,858,7.9,1299
859,1,859,7.5,979
860,1,860,7.9,1111
861,1,861,7.7,1003
862,1,862,9.1,2974
863,1,863,8.2,1214
864,1,864,9.0,2684
865,1,865,8.6,1848
866,1,866,8.1,1335
867,1,867,8.6,2016
868,1,868,9.5,5050
869,1,869,9.3,3579
870,1,870,9.7,21685
871,1,871,9.5,10068
872,1,872,8.9,2665
873,1,873,9.0,2843
874,1,874,8.6,1944
875,1,875,8.6,1967
876,1,876,8.9,2688
877,1,877,9.4,4736
878,1,878,8.7,2217
879,1,879,7.7,1013
880,1,880,7.7,1008
881,1,881,6.3,1148
882,1,882,6.5,1039
883,1,883,6.6,1021
884,1,884,6.7,1040
885,1,885,7.4,1175
886,1,886,7.3,1050
887,1,887,8.2,1740
888,1,888,7.7,1061
889,1,889,7.6,1087
890,1,890,7.3,1087
891,1,891,8.6,2248
892,1,892,9.3,4886
893,1,893,8.9,2992
894,1,894,9.1,3099
895,1,895,5.8,935
896,1,896,5.7,945
897,1,897,8.8,2673
898,1,898,8.6,2072
899,1,899,9.1,3268
900,1,900,8.6,2020
901,1,901,7.6,1234
902,1,902,7.5,1204
903,1,903,7.1,1164
904,1,904,7.0,1118
905,1,905,8.5,1958
906,1,906,8.6,1948
907,1,907,6.0,948
908,1,908,8.5,1995
909,1,909,9.0,2834
910,1,910,8.9,2733
911,1,911,8.2,1727
912,1,912,9.2,3789
913,1,913,9.3,3740
914,1,914,9.6,9942
915,1,915,9.6,8226
916,1,916,8.9,2905
917,1,917,9.0,3303
918,1,918,8.0,1665
919,1,919,8.2,1686
920,1,920,7.5,1347
921,1,921,6.9,1368
922,1,922,8.0,1813
923,1,923,8.1,1778
924,1,924,8.9,2953
925,1,925,9.0,3065
926,1,926,7.7,1316
927,1,927,7.5,1167
928,1,928,7.5,1155
929,1,929,7.4,1150
930,1,930,7.6,1223
931,1,931,7.5,1160
932,1,932,7.9,1356
